Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
31 AUG 2026,AKANKSHA,SM,AKANKSHA POWER N INFRA L ,Listed    ,31 AUG 2026,              10.00,          19580520,            123.00,     2408403960.00  
31 AUG 2026,AKASH,EQ,AKASH INFRA-PROJECTS LTD ,Listed    ,31 AUG 2026,              10.00,          16862534,             24.80,      418190843.20     
31 AUG 2026,AKCAPIT,EQ,A K CAPITAL SERVICES LTD.,Permitted ,31 AUG 2026,              10.00,           6600000,           1750.90,    11555940000.00   
31 AUG 2026,AKG,EQ,AKG EXIM LIMITED         ,Listed    ,31 AUG 2026,              10.00,          31776576,              9.00,      286624715.50       
31 AUG 2026,AKI,EQ,AKI INDIA LIMITED        ,Listed    ,31 AUG 2026,               2.00,         103205956,              4.15,      428304717.40       
31 AUG 2026,AKIKO,SM,AKIKO GLOBAL SERVICES L  ,Listed    ,31 AUG 2026,              10.00,          10769600,            392.40,     4225991040.00     
31 AUG 2026,AKSHAR,EQ,AKSHAR SPINTEX LIMITED   ,Listed    ,31 AUG 2026,               1.00,         787468500,              0.40,      322862085.00    
31 AUG 2026,AKSHARCHEM,BE,AKSHARCHEM INDIA LIMITED ,Listed    ,31 AUG 2026,              10.00,           8033099,            366.35,     2942925818.65
31 AUG 2026,AKSHOPTFBR,BE,AKSH OPTIFIBRE  LTD      ,Listed    ,31 AUG 2026,               5.00,         162697971,              7.35,     1197457066.55
31 AUG 2026,AKUMS,EQ,AKUMS DRUGS AND PHARMA L ,Listed    ,31 AUG 2026,               2.00,         157393988,            776.70,   122247910479.60     
31 AUG 2026,ALANKIT,EQ,ALANKIT LIMITED          ,Listed    ,31 AUG 2026,               1.00,         271158100,              8.10,     2193669029.00   
31 AUG 2026,ALBERTDAVD,EQ,ALBERT DAVID LIMITED     ,Listed    ,31 AUG 2026,              10.00,           5707162,            897.90,     5124460759.80
31 AUG 2026,ALCODIS,SM,ALCOKRAFT DISTILLERIE LTD,Listed    ,31 AUG 2026,              10.00,          10250000,             67.60,      692900000.00   
31 AUG 2026,ALEMBICLTD,EQ,ALEMBIC LIMITED          ,Listed    ,31 AUG 2026,               2.00,         256781828,             98.75,    25354637696.70
31 AUG 2026,ALFREDHE,EQ,ALFRED HERBERT INDIA L   ,Permitted ,31 AUG 2026,              10.00,            771429,           2947.30,     2273632691.70  
31 AUG 2026,ALGOQUANT,EQ,ALGOQUANT FINTECH LIMITED,Listed    ,31 AUG 2026,               1.00,         281096028,             64.70,    18189723971.90 
31 AUG 2026,ALICON,EQ,ALICON CASTALLOY LIMITED ,Listed    ,31 AUG 2026,               5.00,          16411840,            665.40,    10920438336.00    
31 AUG 2026,ALIVUS,EQ,ALIVUS LIFE SCIENCES LTD ,Listed    ,31 AUG 2026,               2.00,         122739448,           1405.70,   172534842053.60    
31 AUG 2026,ALKALI,BE,ALKALI METALS LTD        ,Listed    ,31 AUG 2026,              10.00,          10182506,             64.20,      653716885.20    
31 AUG 2026,ALKEM,EQ,ALKEM LABORATORIES LTD.  ,Listed    ,31 AUG 2026,               2.00,         119565000,           5329.50,   637221667500.00     
31 AUG 2026,ALKYLAMINE,EQ,ALKYL AMINES CHEM. LTD   ,Listed    ,31 AUG 2026,               2.00,          51144052,           2003.80,   102482451397.60
31 AUG 2026,ALLCARGO,EQ,ALLCARGO LOGISTICS LTD   ,Listed    ,31 AUG 2026,               2.00,        1497778469,             11.95,    17898452704.55  
31 AUG 2026,ALLDIGI,EQ,ALLDIGI TECH LIMITED     ,Listed    ,31 AUG 2026,              10.00,          15238326,            813.50,    12396378201.00   
31 AUG 2026,ALLETEC,SM,ALL E TECHNOLOGIES LTD   ,Listed    ,31 AUG 2026,              10.00,          20194176,            125.30,     2530330252.80   
31 AUG 2026,ALLTIME,EQ,ALL TIME PLASTICS LIMITED,Listed    ,31 AUG 2026,               2.00,          65507778,            199.70,    13081248188.80   
31 AUG 2026,ALMONDZ,EQ,ALMONDZ GLOBAL SEC LTD   ,Listed    ,31 AUG 2026,               1.00,         174899756,             17.55,     3065992722.70   
31 AUG 2026,ALOKINDS,EQ,ALOK INDUSTRIES LIMITED  ,Listed    ,31 AUG 2026,               1.00,        4965240401,              8.50,    42204543408.50  
31 AUG 2026,ALPA,EQ,ALPA LABORATORIES LTD    ,Listed    ,31 AUG 2026,              10.00,          21040600,             62.75,     1319876838.00      
31 AUG 2026,ALPEXSOLAR,SM,ALPEX SOLAR LIMITED      ,Listed    ,31 AUG 2026,              10.00,          25543000,            831.70,    21244113100.00
31 AUG 2026,ALPHAGEO,BE,ALPHAGEO (INDIA) LIMITED ,Listed    ,31 AUG 2026,              10.00,           6364767,            291.90,     1858002782.65  
31 AUG 2026,ALPINETEX,EQ,ALPINE TEXWORLD LIMITED  ,Listed    ,31 AUG 2026,              10.00,          38247000,             53.60,     2050804140.00 
31 AUG 2026,ALUFLUOR,EQ,ALUFLUORIDE LTD.         ,Permitted ,31 AUG 2026,              10.00,           7820482,            483.15,     3778465878.30  
31 AUG 2026,ALUWIND,SM,ALUWIND INFRA-TECH LTD   ,Listed    ,31 AUG 2026,              10.00,          24847420,             48.15,     1196403273.00   
31 AUG 2026,AMAGI,EQ,AMAGI MEDIA LABS LIMITED ,Listed    ,31 AUG 2026,               5.00,         216338944,            567.50,   122772350720.00     
31 AUG 2026,AMAL,EQ,AMAL LTD.                ,Permitted ,31 AUG 2026,              10.00,          12362662,            744.25,     9200911193.50      
31 AUG 2026,AMANTA,BE,AMANTA HEALTHCARE LIMITED,Listed    ,31 AUG 2026,              10.00,          38829351,            188.80,     7330981468.80    
31 AUG 2026,AMARJOTHI,EQ,AMARJOTHI SPINNING MILL L,Permitted ,31 AUG 2026,              10.00,           6750000,            162.25,     1095120000.00 
31 AUG 2026,AMBAAUTO,SM,AMBA AUTO SALES AND SER L,Listed    ,31 AUG 2026,              10.00,          18324000,            110.80,     2030299200.00  
31 AUG 2026,AMBALALSA,BE,AMBALAL SARABHAI ENT L   ,Permitted ,31 AUG 2026,              10.00,          76633296,             45.60,     3496010963.50 
31 AUG 2026,AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED  ,Listed    ,27 AUG 2026,              10.00,           8638469,            110.00,      950231590.00
31 AUG 2026,AMBER,EQ,AMBER ENTERPRISES (I) LTD,Listed    ,31 AUG 2026,              10.00,          35267767,           7620.00,   268740384540.00     
31 AUG 2026,AMBICAAGAR,EQ,AMBICA AGAR & AROMAINDLTD,Listed    ,31 AUG 2026,              10.00,          17177400,             24.30,      417067272.00
31 AUG 2026,AMBIKCO,EQ,AMBIKA COTTON MILL LTD.  ,Listed    ,31 AUG 2026,              10.00,           5725000,           1639.70,     9387282500.00   
31 AUG 2026,AMBUJACEM,EQ,AMBUJA CEMENTS LTD       ,Listed    ,31 AUG 2026,               2.00,        2484817186,            401.15,   996784414163.90 
31 AUG 2026,AMCL,SM,ANB METAL CAST LIMITED   ,Listed    ,31 AUG 2026,              10.00,          11834780,            355.55,     4207856029.00      
31 AUG 2026,AMDIND,EQ,AMD INDUSTRIES LIMITED   ,Listed    ,31 AUG 2026,              10.00,          19166749,             56.25,     1078512966.25    
31 AUG 2026,AMEYA,SM,AMEYA PRECISION ENG LTD  ,Listed    ,28 AUG 2026,              10.00,           7500000,            112.00,      840000000.00     
31 AUG 2026,AMIABLE,SM,AMIABLE LOGISTICS (I) LTD,Listed    ,13 AUG 2026,              10.00,           1748200,             65.00,      113633000.00   
31 AUG 2026,AMJLAND,EQ,AMJ LAND HOLDINGS LIMITED,Listed    ,31 AUG 2026,               2.00,          41000000,             39.55,     1622370000.00   
31 AUG 2026,AMNPLST,EQ,AMINES & PLASTICIZERS LTD,Listed    ,31 AUG 2026,               2.00,          55020000,            181.30,     9974025600.00   
31 AUG 2026,AMRUTANJAN,EQ,AMRUTAJAN HEALTH LTD     ,Listed    ,31 AUG 2026,               1.00,          28910630,            509.35,    14725629390.50
31 AUG 2026,ANANDRATHI,EQ,ANAND RATHI WEALTH LTD   ,Listed    ,31 AUG 2026,               5.00,         166041268,           2204.20,   365988162925.60
31 AUG 2026,ANANTAM,IV,ANANTAM HIGHWAYS TRUST   ,Listed    ,31 AUG 2026,             100.00,         217500000,            105.75,    22998450000.00   
31 AUG 2026,ANANTRAJ,EQ,ANANT RAJ LIMITED        ,Listed    ,31 AUG 2026,               2.00,         359876930,            603.90,   217329678027.00  
31 AUG 2026,ANAWIL,SM,ANAWIL WIRE AND ENGIN LTD,Listed    ,31 AUG 2026,              10.00,          24999800,            403.75,    10093669250.00    
