Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
14 AUG 2026,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,14 AUG 2026,              10.00,          64285720,            118.80,     7636500678.80   
14 AUG 2026,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,14 AUG 2026,               2.00,          92438500,             52.10,     4815121465.00
14 AUG 2026,ADVENTHTL,EQ,ADVENT HOTELS INTERNATI L,Listed    ,14 AUG 2026,              10.00,          53942887,            141.60,     7637233941.45 
14 AUG 2026,ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD ,Listed    ,14 AUG 2026,               2.00,         111976150,            304.30,    34074342445.00
14 AUG 2026,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED  ,Listed    ,14 AUG 2026,               1.00,         351000000,           1265.40,   444155400000.00  
14 AUG 2026,AEGISVOPAK,EQ,AEGIS VOPAK TERMINALS LTD,Listed    ,14 AUG 2026,              10.00,        1107991489,            269.10,   298160509689.90
14 AUG 2026,AEPL,EQ,ARTEMIS ELECTRICALS & P L,Listed    ,14 AUG 2026,               1.00,         251036900,             15.30,     3840864570.00      
14 AUG 2026,AEQUS,EQ,AEQUS LIMITED            ,Listed    ,14 AUG 2026,              10.00,         670665635,            249.65,   167424969121.40     
14 AUG 2026,AEROENTER,EQ,AEROFLEX ENTERPRISES LTD ,Listed    ,14 AUG 2026,               2.00,         113085000,            127.95,    14469225750.00 
14 AUG 2026,AEROFLEX,EQ,AEROFLEX INDUSTRIES LTD  ,Listed    ,14 AUG 2026,               2.00,         132330768,            459.85,    60852303664.80  
14 AUG 2026,AERON,SM,AERON COMPOSITE LIMITED  ,Listed    ,14 AUG 2026,              10.00,          17020000,             76.05,     1294371000.00     
14 AUG 2026,AERONEU,EQ,AEROFLEX NEU LIMITED     ,Listed    ,14 AUG 2026,              10.00,          25796000,             86.00,     2218456000.00   
14 AUG 2026,AEROPLANE,EQ,AMIR CHAND JAG KUM (E) L ,Listed    ,14 AUG 2026,              10.00,         103551556,            192.15,    19896395969.85 
14 AUG 2026,AESTHETIK,SM,AESTHETIK ENGINEERS LTD  ,Listed    ,14 AUG 2026,              10.00,          17220175,             71.50,     1231242512.50 
14 AUG 2026,AETHER,EQ,AETHER INDUSTRIES LIMITED,Listed    ,14 AUG 2026,              10.00,         132712576,           1625.10,   215671207257.60    
14 AUG 2026,AFCONS,EQ,AFCONS INFRASTRUCTURE LTD,Listed    ,14 AUG 2026,              10.00,         367784631,            268.80,    98860508812.80    
14 AUG 2026,AFFLE,EQ,AFFLE 3I LIMITED         ,Listed    ,14 AUG 2026,               2.00,         140796384,           1668.80,   234961005619.20     
14 AUG 2026,AFFORDABLE,BE,AFFORD ROBO & AUTO LTD   ,Listed    ,14 AUG 2026,              10.00,          11851105,            181.90,     2155597488.45
14 AUG 2026,AFIL,EQ,AKME FINTRADE (INDIA) LTD,Listed    ,14 AUG 2026,               1.00,         426749960,              9.70,     4130939612.80      
14 AUG 2026,AFSL,EQ,ABANS FINANCIAL SRVCS LTD,Listed    ,14 AUG 2026,               2.00,          50792840,            204.65,    10395770562.80      
14 AUG 2026,AGARIND,EQ,AGARWAL INDS CORP LTD.   ,Listed    ,14 AUG 2026,              10.00,          14957789,            484.75,     7250788217.75   
14 AUG 2026,AGARWALEYE,EQ,DR AGARWALS HEALTH CARE L,Listed    ,14 AUG 2026,               1.00,         316983028,            506.50,   160551903682.00
14 AUG 2026,AGARWALFT,SM,AGARWAL FLOAT GLASS I LTD,Listed    ,14 AUG 2026,              10.00,           7243488,             34.95,      253159905.60 
14 AUG 2026,AGARWALTUF,SM,AGARWAL TOUGH GLASS IND L,Listed    ,14 AUG 2026,              10.00,          17674600,            142.00,     2509793200.00
14 AUG 2026,AGI,EQ,AGI GREENPAC LIMITED     ,Listed    ,14 AUG 2026,               2.00,          64697381,            703.80,    45534016747.80       
14 AUG 2026,AGIIL,EQ,AGI INFRA LIMITED        ,Listed    ,14 AUG 2026,               1.00,         124997388,            301.90,    37736711437.20     
14 AUG 2026,AGL,EQ,ALLCARGO GLOBAL LIMITED  ,Listed    ,14 AUG 2026,               2.00,         982782096,             14.90,    14653281051.35       
14 AUG 2026,AGNI,SM,AGNI GREEN POWER LTD     ,Listed    ,14 AUG 2026,              10.00,          19534800,             15.60,      304742880.00      
14 AUG 2026,AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,Listed    ,14 AUG 2026,              10.00,           5940000,            105.50,      626610600.00  
14 AUG 2026,AGROPHOS,EQ,AGRO PHOS INDIA LIMITED  ,Listed    ,14 AUG 2026,              10.00,          20274115,             27.35,      554091562.95  
14 AUG 2026,AGSTRA,BZ,AGS TRANSACT TECH LTD    ,Listed    ,14 AUG 2026,              10.00,         128433076,              2.00,      258150482.75    
14 AUG 2026,AGUL,SM,A G UNIVERSAL LIMITED    ,Listed    ,11 AUG 2026,              10.00,           5484000,             53.65,      294216600.00      
14 AUG 2026,AHCL,EQ,ANLON HEALTHCARE LIMITED ,Listed    ,14 AUG 2026,               2.00,         531515000,             14.45,     7669761450.00      
14 AUG 2026,AHIMSA,ST,AHIMSA INDUSTRIES LTD.   ,Listed    ,12 AUG 2026,              10.00,           5473990,             27.15,      148618828.50    
14 AUG 2026,AHLADA,EQ,AHLADA ENGINEERS LIMITED ,Listed    ,14 AUG 2026,              10.00,          12921000,             38.35,      495649560.00    
14 AUG 2026,AHLEAST,EQ,ASIAN HOTELS (EAST) LTD  ,Listed    ,14 AUG 2026,              10.00,          17291696,            138.10,     2388329051.50   
14 AUG 2026,AHLUCONT,EQ,AHLUWALIA CONT IND LTD   ,Listed    ,14 AUG 2026,               2.00,          66987560,            837.35,    56092033366.00  
14 AUG 2026,AHLWEST,BE,ASIAN HOTELS (WEST) LTD  ,Listed    ,14 AUG 2026,              10.00,          11651210,            550.00,     6408165500.00   
14 AUG 2026,AIAENG,EQ,AIA ENGINEERING LIMITED  ,Listed    ,14 AUG 2026,               2.00,          93320370,           4482.80,   418336554636.00    
14 AUG 2026,AIIL,EQ,AUTHUM INVEST & INFRA LTD,Listed    ,14 AUG 2026,               1.00,         849225500,            564.90,   479727484950.00      
14 AUG 2026,AILIMITED,SM,ABHISHEK INTEGRATIONS LTD,Listed    ,14 AUG 2026,              10.00,           6338070,             35.85,      227219809.50 
14 AUG 2026,AIMTRON,SM,AIMTRON ELECTRONICS LTD  ,Listed    ,14 AUG 2026,              10.00,          20609177,           1731.15,    35677576763.55   
14 AUG 2026,AIRAN,EQ,AIRAN LIMITED            ,Listed    ,14 AUG 2026,               2.00,         125020000,             15.25,     1907805200.00     
14 AUG 2026,AIROLAM,EQ,AIRO LAM LIMITED         ,Listed    ,14 AUG 2026,              10.00,          15002000,             87.30,     1309524580.00   
14 AUG 2026,AISL,SM,ANI INTEGRATED SERV LTD. ,Listed    ,14 AUG 2026,              10.00,          11687200,             58.00,      677857600.00      
14 AUG 2026,AJANTPHARM,EQ,AJANTA PHARMA LIMITED    ,Listed    ,14 AUG 2026,               2.00,         124935624,           3672.80,   458863559827.20
14 AUG 2026,AJAXENGG,EQ,AJAX ENGINEERING LIMITED ,Listed    ,14 AUG 2026,               1.00,         114406800,            582.20,    66607638960.00  
14 AUG 2026,AJMERA,EQ,AJMERA REALTY & INF I LTD,Listed    ,14 AUG 2026,               2.00,         196795650,            118.25,    23267149699.50    
14 AUG 2026,AJOONI,EQ,AJOONI BIOTECH LIMITED   ,Listed    ,14 AUG 2026,               2.00,         172243598,              3.85,      664860288.30    
14 AUG 2026,AKANKSHA,SM,AKANKSHA POWER N INFRA L ,Listed    ,14 AUG 2026,              10.00,          19580520,            118.75,     2325186750.00  
14 AUG 2026,AKASH,EQ,AKASH INFRA-PROJECTS LTD ,Listed    ,14 AUG 2026,              10.00,          16862534,             24.60,      414818336.40     
14 AUG 2026,AKCAPIT,EQ,A K CAPITAL SERVICES LTD.,Permitted ,14 AUG 2026,              10.00,           6600000,           1737.00,    11464200000.00   
14 AUG 2026,AKG,EQ,AKG EXIM LIMITED         ,Listed    ,14 AUG 2026,              10.00,          31776576,              8.70,      277091742.70       
14 AUG 2026,AKI,EQ,AKI INDIA LIMITED        ,Listed    ,14 AUG 2026,               2.00,         103205956,              4.15,      428304717.40       
14 AUG 2026,AKIKO,ST,AKIKO GLOBAL SERVICES L  ,Listed    ,14 AUG 2026,              10.00,          10769600,            340.00,     3661664000.00     
14 AUG 2026,AKSHAR,EQ,AKSHAR SPINTEX LIMITED   ,Listed    ,14 AUG 2026,               1.00,         787468500,              0.40,      322862085.00    
