3,544658,49425900
3,533519,851853000
3,544600,329919040
3,544576,101815800
3,544632,550493760
3,544574,509384280
3,500093,677222910
3,532539,179000510
3,503806,145248250
3,540180,1352918400
3,500488,5099760
3,540611,561417000
3,539254,324346410
3,540755,315792000
3,533150,126507360
3,540777,1078910000
3,540716,244480110
3,540005,91912830
3,533273,116352640
3,540719,451391400
3,540115,27560520
3,500103,1462466460
3,506395,118006000
3,500300,374288750
3,543237,76642200
3,542649,562955400
3,543994,535900460
3,543940,3367602420
3,532508,313279600
4,543235,528959420
4,544515,339279820
4,544283,204783790
4,544403,549234900
4,544407,144038830
4,544203,53144900
4,544397,191336500
4,509496,54972160
4,531358,84655260
4,505700,87516000
4,532832,542346870
4,500033,4822210
4,505714,63203360
4,532726,28953720
4,522275,122902560
4,532734,241691400
4,533282,31737440
4,544362,146643840
4,544172,103587430
4,544325,1124807040
4,532627,4865955890
4,544408,80149920
4,532783,135428670
4,513023,138670490
4,543945,18221120
4,544292,77957240
4,543530,425650110
4,543265,86653260
4,532939,2895039700
4,543573,111841400
4,532928,108059760
4,532748,100878830
4,544574,509384280
4,544443,18435060
4,532648,17573046400
4,543257,1960275900
4,515030,119815690
4,522074,215498120
4,543271,82826120
4,530019,79640500
4,543278,382113800
4,543308,248086180
4,543287,279719720
4,500368,348193280
4,543299,69783000
4,543300,447737760
4,500271,262287400
4,539551,69482740
4,532504,36413060
4,541956,329180600
4,500378,230222880
4,540678,84185920
4,540755,315792000
4,540743,44242800
4,540777,1078910000
4,540716,244480110
4,533272,136758400
4,540750,799816300
4,540767,178720920
4,540719,451391400
4,541770,54469020
4,541729,201379960
4,542066,274952500
4,544081,84146510
4,533293,82854630
4,541988,39641500
4,512599,335980500
4,544603,878303580
4,544280,180214650
4,544226,219261000
4,544045,18206400
4,544210,34126200
4,544311,99396800
4,544309,48040440
4,524558,8596100
4,544289,926896300
4,544225,2073090100
4,533581,159792080
4,544238,144958080
4,544282,2293850720
4,544306,135694720
4,504614,91619060
4,544285,1407760140
4,544307,2757204520
4,544277,94924830
4,532300,82867860
4,533339,46047900
4,504973,99521810
4,540769,247200000
4,531335,95448300
4,543664,31506450
4,543904,111463560
4,543768,1142936340
4,517146,182845200
4,544405,302558860
4,500002,52977000
4,543187,12480160
4,542752,63358200
4,532400,164908540
4,544606,218172440
4,544597,120139340
4,544612,88792880
4,532756,128983080
4,544608,131545550
4,544429,207584500
4,544480,313573950
4,532642,3774000
4,500165,202164500
4,544600,329919040
4,544576,101815800
4,544632,550493760
4,544467,134000000
4,544609,514744740
4,543349,51578730
4,544466,29449500
4,544449,140428500
4,524742,19763120
4,543396,422518800
4,517174,2210500
4,533655,117621150
4,543334,100003680
4,532527,101377360
4,543398,72423750
4,543427,72033000
4,531768,37502830
4,541153,902148240
4,540691,812452650
4,541154,187257000
4,539523,58586850
4,539524,77113480
4,500670,83756370
4,532209,440472800
4,543994,535900460
4,500265,38857680
4,543988,83802800
4,532439,41040500
4,543981,32800740
4,534139,57384960
4,543990,40748190
4,544028,174602360
4,532966,79457660
4,520056,5058000
4,532762,40488220
4,543415,84681420
4,539177,263260060
4,500048,38312940
4,544012,46241600
4,543960,33477120
4,532181,82680000
4,517271,113649950
4,500184,232089320
4,544014,136655400
4,539083,967813280
4,543940,3367602420
4,500003,126360000
4,511196,91876260
4,543463,60743250
4,543390,374781330
4,519600,70769840
4,532443,5804100
4,532482,143722260
4,500093,677222910
4,543534,33177250
4,543259,92967620
4,512455,125387950
4,543498,2520031560
4,524000,352126800
4,532754,3590051840
4,540595,81761320
4,517334,4432712340
4,543276,14385250
4,540222,383298470
4,543635,624746560
4,542651,164486400
4,540699,41345360
4,540902,21836400
4,531595,384861600
4,543653,65191360
4,543654,86032640
4,543524,50779500
4,542652,52694950
4,542216,76902060
4,543458,558861970
4,532432,290940400
4,509488,66427840
4,540975,264241710
4,543529,554050580
4,509631,82980540
4,532508,313279600
4,517569,61184640
4,506590,173123720
4,500110,47651520
4,543232,240544480
4,540762,104518620
4,538962,78896070
4,538835,89532800
4,543220,739665440
4,543237,76642200
4,543238,66831960
4,543425,19166350
4,543318,47824650
4,543330,419199600
4,543384,1374423360
4,500038,115111500
4,543374,72274000
4,543320,7237763250
4,541233,499114980
4,543335,380564680
4,532259,16870560
4,544179,249614730
4,542649,562955400
4,544174,34748160
4,542141,50009000
4,544176,152496400
4,515055,151148340
4,542011,28638000
4,500106,673578500
4,543720,132861190
4,500241,25410880
4,540900,64043100
4,539006,5997200
4,541143,91640750
4,532605,40203980
4,541450,329435200
4,544026,786584680
4,500092,24132900
4,532321,251558500
4,532483,3356140870
